,partition_size,memory,executor_cores,executor_instances,cleaning_time,training_time
0,300,8,1,4,17.48369026184082,78.48508882522583
1,300,8,2,4,17.076614141464233,57.91741538047791
2,300,8,3,4,15.617036819458008,51.697545289993286
3,300,8,4,4,15.928044557571411,52.622297286987305
