partition_size,memory,executor_cores,executor_instances,task_cpus,cleaning_time,training_time
200,4,1,1,1,21.217729806900024,85.86811518669128
400,6,2,2,2,19.665283203125,66.30816268920898
800,8,2,4,3,18.14170241355896,58.265188694000244
1600,16,4,4,4,18.444947719573975,59.78668284416199
